accession	protein_name	sequence_length	header_line	genbank_id	genbank_link	subfamily	phenotype	natural_or_acquired
MBC1188350	KLUS-1	291	MBC1188350.1 CTX-M family class A extended-spectrum beta-lactamase [Kluyvera sp. SCKS090646]	JABBJF010000029	http://www.ncbi.nlm.nih.gov/nuccore/JABBJF010000029?from=24209&to=25084			N ( Kluyvera sichuanensis 090646)
AAT45026	KLUY-2	291	AAT45026.1 beta-lactamase KLUY-2 [Kluyvera sp. N03-0461]	AY623935	http://www.ncbi.nlm.nih.gov/nuccore/AY623935?from=397&to=1272	CTX-M-9-like		N ( Kluyvera sp. N03-0461)
AAT45022	KLUY-3	291	AAT45022.1 beta-lactamase KLUY-3 [Kluyvera sp. N03-0460]	AY623934	http://www.ncbi.nlm.nih.gov/nuccore/AY623934?from=397&to=1272	CTX-M-9-like		N ( Kluyvera sp. N03-0460)
AAT45018	KLUY-4	291	AAT45018.1 beta-lactamase KLUY-4 [Kluyvera sp. N03-0462]	AY623933	http://www.ncbi.nlm.nih.gov/nuccore/AY623933?from=396&to=1271	CTX-M-9-like		N ( Kluyvera sp. N03-0462)
OBR18659	KPC-2	293	OBR18659.1 class A beta-lactamase [Acinetobacter baumannii]	LDDY01000008	http://www.ncbi.nlm.nih.gov/nuccore/LDDY01000008?from=72309&to=73190		2f	A
AIL25506	KPC-3	293	AIL25506.1 KPC-3 [Acinetobacter baumannii]	KJ748372	http://www.ncbi.nlm.nih.gov/nuccore/KJ748372?from=73211&to=74092		2f	A
KDF02556	KPC-4	293	KDF02556.1 carbepenem-hydrolyzing beta-lactamase KPC [Citrobacter sp. MGH 55]	JMUK01000029	http://www.ncbi.nlm.nih.gov/nuccore/JMUK01000029?from=11401&to=12282		2f	A
KTH61645	KPC-5	293	KTH61645.1 class A beta-lactamase [Enterobacter hormaechei subsp. steigerwaltii]	LPOR01000022	http://www.ncbi.nlm.nih.gov/nuccore/LPOR01000022?from=7530&to=8411		2f	A
ACB71165	KPC-6	293	ACB71165.1 beta-lactamase KPC-6 [Klebsiella pneumoniae]	EU555534	http://www.ncbi.nlm.nih.gov/nuccore/EU555534?from=1&to=882		2f	A
ACE62798	KPC-7	293	ACE62798.1 carbapenem-hydrolyzing beta-lactamase KPC-7 [Klebsiella pneumoniae]	EU729727	http://www.ncbi.nlm.nih.gov/nuccore/EU729727?from=1&to=882		2f	A
ACI95258	KPC-8	293	ACI95258.1 beta-lactamase KPC-8 [Klebsiella pneumoniae]	FJ234412	http://www.ncbi.nlm.nih.gov/nuccore/FJ234412?from=1&to=882		2f	A
ACS35345	KPC-10	293	ACS35345.1 beta-lactamase KPC-10 [Acinetobacter baumannii]	GQ140348	http://www.ncbi.nlm.nih.gov/nuccore/GQ140348?from=1&to=882		2f	A
ADH95186	KPC-11	293	ADH95186.1 beta-lactamase KPC-11 (plasmid) [Klebsiella pneumoniae]	HM066995	http://www.ncbi.nlm.nih.gov/nuccore/HM066995?from=1&to=882		2f	A
ADZ75468	KPC-12	293	ADZ75468.1 beta-lactamase KPC-12 [Escherichia coli]	HQ641422	http://www.ncbi.nlm.nih.gov/nuccore/HQ641422?from=1&to=882		2f	A
AEA73284	KPC-13	293	AEA73284.1 carbapenem-hydrolyzing beta-lactamase KPC-13 (plasmid) [Enterobacter cloacae]	HQ342889	http://www.ncbi.nlm.nih.gov/nuccore/HQ342889?from=1&to=882		2f	A
AFV48348	KPC-14	291	AFV48348.1 putative carpapenem-hydrolyzing beta-lactamase KPC-14 (plasmid) [Klebsiella pneumoniae]	JX524191	http://www.ncbi.nlm.nih.gov/nuccore/JX524191?from=396&to=1271		2f	A
AGF70638	KPC-15	293	AGF70638.1 beta-lactamase KPC-15 (plasmid) [Klebsiella pneumoniae]	KC433553	http://www.ncbi.nlm.nih.gov/nuccore/KC433553?from=1&to=882		2f	A
AGJ01153	KPC-16	293	AGJ01153.1 carbapenem-hydrolyzing beta-lactamase [Klebsiella pneumoniae]	KC465199	http://www.ncbi.nlm.nih.gov/nuccore/KC465199?from=1&to=882		2f	A
AGJ01154	KPC-17	293	AGJ01154.1 carbapenem-hydrolyzing beta-lactamase [Klebsiella pneumoniae]	KC465200	http://www.ncbi.nlm.nih.gov/nuccore/KC465200?from=1&to=882		2f	A
ALV83364	KPC-18	293	ALV83364.1 beta-lactamase KPC-18 [Enterobacter cloacae]	KT884517	http://www.ncbi.nlm.nih.gov/nuccore/KT884517?from=50001&to=50882		2f	A
AIH07017	KPC-19	293	AIH07017.1 carbapenemase [Klebsiella pneumoniae subsp. pneumoniae]	KJ775801	http://www.ncbi.nlm.nih.gov/nuccore/KJ775801?from=1&to=882		2f	A
ATM29810	KPC-20	293	ATM29810.1 carbapenem-hydrolyzing class A beta-lactamase KPC-20 [Escherichia coli]	MF772496	http://www.ncbi.nlm.nih.gov/nuccore/MF772496?from=1&to=882		2f	A
CEF57509	KPC-21	293	CEF57509.1 carbapenemase [Escherichia coli]	LN609376	http://www.ncbi.nlm.nih.gov/nuccore/LN609376?from=1&to=882		2f	A
AIX87991	KPC-22	293	AIX87991.1 carbapenem-hydrolyzing beta-lactamase [Klebsiella pneumoniae]	KM379100	http://www.ncbi.nlm.nih.gov/nuccore/KM379100?from=1&to=882		2f	A
AWU66461	KPC-23	293	AWU66461.1 carbapenem-hydrolyzing class A beta-lactamase KPC-23 [Klebsiella pneumoniae]	MH450213	http://www.ncbi.nlm.nih.gov/nuccore/MH450213?from=1&to=882		2f	A
AKQ06274	KPC-24	293	AKQ06274.1 beta-lactamase KPC-24 (plasmid) [Klebsiella pneumoniae]	KR052099	http://www.ncbi.nlm.nih.gov/nuccore/KR052099?from=5212&to=6093		2f	A
ALS19383	KPC-25	295	ALS19383.1 carbapenem-hydrolyzing class A beta-lactamase KPC-25, partial (plasmid) [Klebsiella pneumoniae]	KU216748	http://www.ncbi.nlm.nih.gov/nuccore/KU216748?from=1&to=887		2f	A
ANY26940	KPC-26	293	ANY26940.1 carbapenem-hydrolyzing class A beta-lactamase KPC-26 [Klebsiella pneumoniae]	KX619622	http://www.ncbi.nlm.nih.gov/nuccore/KX619622?from=1&to=882		2f	A
AOR05747	KPC-27	293	AOR05747.1 carbapenem-hydrolyzing class A beta-lactamase KPC-27 (plasmid) [Klebsiella pneumoniae]	KX828722	http://www.ncbi.nlm.nih.gov/nuccore/KX828722?from=1&to=882		2f	A
APG42690	KPC-28	291	APG42690.1 carbapenem-hydrolyzing class A beta-lactamase KPC-28 [Escherichia coli]	KY282958	http://www.ncbi.nlm.nih.gov/nuccore/KY282958?from=1&to=876		2f	A
AQM40193	KPC-29	296	AQM40193.1 carbapenem-hydrolyzing class A beta-lactamase KPC-29 [Klebsiella pneumoniae]	KY563764	http://www.ncbi.nlm.nih.gov/nuccore/KY563764?from=1&to=891			A
AQT03460	KPC-30	293	AQT03460.1 carbapenem-hydrolyzing class A beta-lactamase KPC-30 [Klebsiella pneumoniae]	KY646302	http://www.ncbi.nlm.nih.gov/nuccore/KY646302?from=1&to=882			A
OKK72649	KPC-31	293	OKK72649.1 class A beta-lactamase [Klebsiella pneumoniae]	MAPH01000113	http://www.ncbi.nlm.nih.gov/nuccore/MAPH01000113?from=8512&to=9393			A
OKL07573	KPC-32	293	OKL07573.1 class A beta-lactamase [Klebsiella pneumoniae]	MAPO01000050	http://www.ncbi.nlm.nih.gov/nuccore/MAPO01000050?from=8512&to=9393			A
AUD37084	KPC-33	293	AUD37084.1 KPC family carbapenem-hydrolyzing class A beta-lactamase (plasmid) [Klebsiella pneumoniae]	CP025144	http://www.ncbi.nlm.nih.gov/nuccore/CP025144?from=87793&to=88674			A
AMS25623	KPC-34	301	AMS25623.1 carbapenem-hydrolyzing class A beta-lactamase KPC-34 [Klebsiella pneumoniae]	KU985429	http://www.ncbi.nlm.nih.gov/nuccore/KU985429?from=1&to=906			A
AWR93230	KPC-35	293	AWR93230.1 carbapenem-hydrolyzing class A beta-lactamase KPC-35 [Klebsiella pneumoniae]	MH404098	http://www.ncbi.nlm.nih.gov/nuccore/MH404098?from=1&to=882			A
AXC08545	KPC-36	293	AXC08545.1 carbapenem-hydrolyzing class A beta-lactamase KPC-36 [Klebsiella pneumoniae]	MH593787	http://www.ncbi.nlm.nih.gov/nuccore/MH593787?from=1&to=882			A
AXL13972	KPC-37	293	AXL13972.1 carbapenem-hydrolyzing class A beta-lactamase KPC-37 [Klebsiella pneumoniae]	MH718730	http://www.ncbi.nlm.nih.gov/nuccore/MH718730?from=1&to=882			A
AYP70144	KPC-38	293	AYP70144.1 carbapenem-hydrolyzing class A beta-lactamase KPC-38 [Klebsiella pneumoniae]	MK098861	http://www.ncbi.nlm.nih.gov/nuccore/MK098861?from=1&to=882			A
AYR04937	KPC-39	293	AYR04937.1 carbapenem-hydrolyzing class A beta-lactamase KPC-39 [Klebsiella pneumoniae]	MK118771	http://www.ncbi.nlm.nih.gov/nuccore/MK118771?from=1&to=882			A
RDT05676	KPC-40	295	RDT05676.1 KPC family carbapenem-hydrolyzing class A beta-lactamase [Enterobacter hormaechei]	QRBR01000058	http://www.ncbi.nlm.nih.gov/nuccore/QRBR01000058?from=6222&to=7109			A
QBC36180	KPC-41	296	QBC36180.1 carbapenem-hydrolyzing class A beta-lactamase KPC-41 [Klebsiella pneumoniae]	MK497255	http://www.ncbi.nlm.nih.gov/nuccore/MK497255?from=1&to=891			A
QBC75465	KPC-42	293	QBC75465.1 carbapenem-hydrolyzing class A beta-lactamase KPC-42 [Klebsiella pneumoniae]	MK467612	http://www.ncbi.nlm.nih.gov/nuccore/MK467612?from=1&to=882			A
QBO66649	KPC-43	293	QBO66649.1 carbapenem-hydrolyzing class A beta-lactamase KPC-43 [Klebsiella pneumoniae]	MK628511	http://www.ncbi.nlm.nih.gov/nuccore/MK628511?from=1&to=882			A
QCF59390	KPC-44	308	QCF59390.1 inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-44 [Klebsiella pneumoniae]	MK823188	http://www.ncbi.nlm.nih.gov/nuccore/MK823188?from=1&to=927			A
QDM39441	KPC-45	293	QDM39441.1 carbapenem-hydrolyzing class A beta-lactamase KPC-45 [Enterobacter cloacae]	MN104596	http://www.ncbi.nlm.nih.gov/nuccore/MN104596?from=1&to=882			A
QED08959	KPC-46	293	QED08959.1 carbapenem-hydrolyzing class A beta-lactamase KPC-46 [Klebsiella pneumoniae]	MN267701	http://www.ncbi.nlm.nih.gov/nuccore/MN267701?from=1&to=882			A
QEO76001	KPC-47	293	QEO76001.1 carbapenem-hydrolyzing class A beta-lactamase KPC-47 [Klebsiella pneumoniae]	MN422012	http://www.ncbi.nlm.nih.gov/nuccore/MN422012?from=1&to=882			A
QEO76002	KPC-48	293	QEO76002.1 carbapenem-hydrolyzing class A beta-lactamase KPC-48 [Klebsiella pneumoniae]	MN422013	http://www.ncbi.nlm.nih.gov/nuccore/MN422013?from=1&to=882			A
MBK3326017	KPC-49	293	MBK3326017.1 KPC family carbapenem-hydrolyzing class A beta-lactamase [Escherichia coli O25b:H4-ST131]	WIRG01000024	http://www.ncbi.nlm.nih.gov/nuccore/WIRG01000024?from=55857&to=56738&strand=2			A
QGJ02578	KPC-50	296	QGJ02578.1 inhibitor-resistant class A beta-lactamase KPC-50 (plasmid) [Klebsiella pneumoniae]	MN654342	http://www.ncbi.nlm.nih.gov/nuccore/MN654342?from=1&to=891			A
QGT31448	KPC-51	293	QGT31448.1 inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-51 [Klebsiella pneumoniae]	MN725731	http://www.ncbi.nlm.nih.gov/nuccore/MN725731?from=1&to=882			A
QGT31449	KPC-52	294	QGT31449.1 inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-52 [Klebsiella pneumoniae]	MN725732	http://www.ncbi.nlm.nih.gov/nuccore/MN725732?from=1&to=885			A
MUT87649	KPC-53	295	MUT87649.1 carbapenem-hydrolyzing class A beta-lactamase KPC-53 [Klebsiella pneumoniae subsp. pneumoniae]	WNWP01000038	http://www.ncbi.nlm.nih.gov/nuccore/WNWP01000038?from=8752&to=9639&strand=2			A
QHA33651	KPC-54	293	QHA33651.1 carbapenem-hydrolyzing class A beta-lactamase KPC-54 [Klebsiella pneumoniae]	MN854706	http://www.ncbi.nlm.nih.gov/nuccore/MN854706?from=1&to=882			A
QIS31290	KPC-55	293	QIS31290.1 carbapenem-hydrolyzing class A beta-lactamase KPC-55 (plasmid) [Klebsiella pneumoniae]	MT028409	http://www.ncbi.nlm.nih.gov/nuccore/MT028409?from=14913&to=15794			A
OVG32154	KPC-56	293	OVG32154.1 class A beta-lactamase [Klebsiella pneumoniae]	NDBX01000081	http://www.ncbi.nlm.nih.gov/nuccore/NDBX01000081?from=2054&to=2935&strand=2			A
QJD09264	KPC-57	293	QJD09264.1 inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-57 [Klebsiella pneumoniae subsp. pneumoniae]	MT358626	http://www.ncbi.nlm.nih.gov/nuccore/MT358626?from=1&to=882			A
QJX44695	KPC-58	301	QJX44695.1 inhibitor-resistant class A beta-lactamase KPC-58 (plasmid) [Klebsiella pneumoniae]	MT463289	http://www.ncbi.nlm.nih.gov/nuccore/MT463289?from=1&to=906			A
QJX44696	KPC-59	293	QJX44696.1 carbapenem-hydrolyzing class A beta-lactamase KPC-59 (plasmid) [Klebsiella pneumoniae]	MT463290	http://www.ncbi.nlm.nih.gov/nuccore/MT463290?from=1&to=882			A
QJX44698	KPC-60	293	QJX44698.1 carbapenem-hydrolyzing class A beta-lactamase KPC-60 [Escherichia coli]	MT482411	http://www.ncbi.nlm.nih.gov/nuccore/MT482411?from=1&to=882			A
QBH72505	KPC-61	293	QBH72505.1 carbapenem-hydrolyzing class A beta-lactamase KPC-61 (plasmid) [Klebsiella pneumoniae]	MK559426	http://www.ncbi.nlm.nih.gov/nuccore/MK559426?from=1&to=882			A
QKV50745	KPC-62	293	QKV50745.1 inhibitor-resistant class A extended-spectrum beta-lactamase KPC-62 [Klebsiella pneumoniae]	MT604163	http://www.ncbi.nlm.nih.gov/nuccore/MT604163?from=1&to=882			A
QKV50746	KPC-63	293	QKV50746.1 inhibitor-resistant class A extended-spectrum beta-lactamase KPC-63 [Klebsiella pneumoniae]	MT604164	http://www.ncbi.nlm.nih.gov/nuccore/MT604164?from=1&to=882			A
QKV50747	KPC-64	294	QKV50747.1 inhibitor-resistant class A extended-spectrum beta-lactamase KPC-64 [Klebsiella pneumoniae]	MT604165	http://www.ncbi.nlm.nih.gov/nuccore/MT604165?from=1&to=885			A
QKV50748	KPC-65	295	QKV50748.1 inhibitor-resistant class A extended-spectrum beta-lactamase KPC-65 [Klebsiella pneumoniae]	MT604166	http://www.ncbi.nlm.nih.gov/nuccore/MT604166?from=1&to=888			A
QNC69631	KPC-66	291	QNC69631.1 inhibitor-resistant class A extended-spectrum beta-lactamase KPC-66 [Klebsiella pneumoniae]	MT833884	http://www.ncbi.nlm.nih.gov/nuccore/MT833884?from=1&to=876			A
QMU31921	KPC-67	299	QMU31921.1 KPC-67 (plasmid) [Klebsiella pneumoniae]	MT809697	http://www.ncbi.nlm.nih.gov/nuccore/MT809697?from=37206&to=38105&strand=2			A
QMU31938	KPC-68	295	QMU31938.1 KPC-68 (plasmid) [Klebsiella pneumoniae]	MT809698	http://www.ncbi.nlm.nih.gov/nuccore/MT809698?from=12173&to=13060			A
QMU32012	KPC-69	295	QMU32012.1 KPC-69 (plasmid) [Klebsiella pneumoniae]	MT809700	http://www.ncbi.nlm.nih.gov/nuccore/MT809700?from=37225&to=38112&strand=2			A
QMU32028	KPC-70	293	QMU32028.1 KPC-70 (plasmid) [Klebsiella pneumoniae]	MT809701	http://www.ncbi.nlm.nih.gov/nuccore/MT809701?from=37209&to=38090&strand=2			A
QOC63221	KPC-71	294	QOC63221.1 inhibitor-resistant class A beta-lactamase KPC-71 [Klebsiella pneumoniae]	MW015092	http://www.ncbi.nlm.nih.gov/nuccore/MW015092?from=1&to=885			A
QNC69632	KPC-72	293	QNC69632.1 inhibitor-resistant class A extended-spectrum beta-lactamase KPC-72 [Klebsiella pneumoniae]	MT833885	http://www.ncbi.nlm.nih.gov/nuccore/MT833885?from=1&to=882			A
QNC69633	KPC-73	297	QNC69633.1 inhibitor-resistant class A extended-spectrum beta-lactamase KPC-73 [Klebsiella pneumoniae]	MT833886	http://www.ncbi.nlm.nih.gov/nuccore/MT833886?from=1&to=894			A
QMX41377	KPC-74	291	QMX41377.1 inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-74 [Klebsiella pneumoniae]	MT856045	http://www.ncbi.nlm.nih.gov/nuccore/MT856045?from=1&to=876			A
QNL15886	KPC-75	293	QNL15886.1 carbapenem-hydrolyzing class A beta-lactamase KPC-75 [Klebsiella pneumoniae]	MT920645	http://www.ncbi.nlm.nih.gov/nuccore/MT920645?from=1&to=882			A
QNT35811	KPC-76	300	QNT35811.1 inhibitor-resistant class A extended-spectrum beta-lactamase KPC-76 (plasmid) [Klebsiella pneumoniae]	MT550690	http://www.ncbi.nlm.nih.gov/nuccore/MT550690?from=1257&to=2159			A
QOJ39190	KPC-77	293	QOJ39190.1 carbapenem-hydrolyzing class A beta-lactamase KPC-77 (plasmid) [Klebsiella pneumoniae]	MW030519	http://www.ncbi.nlm.nih.gov/nuccore/MW030519?from=1&to=882			A
QPO25385	KPC-78	293	QPO25385.1 inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-78 [Klebsiella pneumoniae]	MW319056	http://www.ncbi.nlm.nih.gov/nuccore/MW319056?from=1&to=882&strand=2			A
QPL19131	KPC-79	300	QPL19131.1 inhibitor-resistant class A extended-spectrum beta-lactamase KPC-79 (plasmid) [Klebsiella pneumoniae]	MT875328	http://www.ncbi.nlm.nih.gov/nuccore/MT875328?from=56800&to=57702			A
QQL91944	KPC-80	296	QQL91944.1 carbapenem-hydrolyzing class A beta-lactamase KPC-80 [Klebsiella pneumoniae]	MW444845	http://www.ncbi.nlm.nih.gov/nuccore/MW444845?from=1&to=891			A
QQL91945	KPC-81	292	QQL91945.1 carbapenem-hydrolyzing class A beta-lactamase KPC-81 [Klebsiella pneumoniae]	MW444846	http://www.ncbi.nlm.nih.gov/nuccore/MW444846?from=1&to=879			A
MBL4562904	KPC-82	295	MBL4562904.1 KPC family carbapenem-hydrolyzing class A beta-lactamase [Citrobacter koseri]	JAERIK010000005	http://www.ncbi.nlm.nih.gov/nuccore/JAERIK010000005?from=1822&to=2709			A
QRM14288	KPC-83	293	QRM14288.1 carbapenem-hydrolyzing class A beta-lactamase KPC-83, partial [Aeromonas caviae]	MW581775	http://www.ncbi.nlm.nih.gov/nuccore/MW581775?from=1&to=882			A
QSE38127	KPC-84	293	QSE38127.1 carbapenem-hydrolyzing class A beta-lactamase KPC-84 (plasmid) [Klebsiella pneumoniae]	MW657985	http://www.ncbi.nlm.nih.gov/nuccore/MW657985?from=1&to=882			A
QTV25836	KPC-85	293	QTV25836.1 carbapenem-hydrolyzing class A beta-lactamase KPC-85 (plasmid) [Klebsiella pneumoniae]	MW896839	http://www.ncbi.nlm.nih.gov/nuccore/MW896839?from=1&to=882			A
QUR41142	KPC-86	293	QUR41142.1 carbapenem-hydrolyzing class A beta-lactamase KPC-86 [Klebsiella pneumoniae]	MZ067229	http://www.ncbi.nlm.nih.gov/nuccore/MZ067229?from=1&to=882			A
QUR41143	KPC-87	292	QUR41143.1 carbapenem-hydrolyzing class A beta-lactamase KPC-87 [Klebsiella pneumoniae]	MZ067230	http://www.ncbi.nlm.nih.gov/nuccore/MZ067230?from=1&to=879			A
QUR41144	KPC-88	293	QUR41144.1 carbapenem-hydrolyzing class A beta-lactamase KPC-88 [Klebsiella pneumoniae]	MZ067231	http://www.ncbi.nlm.nih.gov/nuccore/MZ067231?from=1&to=882			A
QWW21252	KPC-89	293	QWW21252.1 carbapenem-hydrolyzing class A beta-lactamase KPC-89 [Klebsiella pneumoniae]	MZ401141	http://www.ncbi.nlm.nih.gov/nuccore/MZ401141?from=1&to=882			A
QWW21253	KPC-90	295	QWW21253.1 carbapenem-hydrolyzing class A beta-lactamase KPC-90 [Klebsiella pneumoniae]	MZ404504	http://www.ncbi.nlm.nih.gov/nuccore/MZ404504?from=1&to=888			A
QWW21254	KPC-91	293	QWW21254.1 carbapenem-hydrolyzing class A beta-lactamase KPC-91 [Klebsiella pneumoniae]	MZ404505	http://www.ncbi.nlm.nih.gov/nuccore/MZ404505?from=1&to=882			A
QXG83132	KPC-92	291	QXG83132.1 class A beta-lactamase KPC-92 [Klebsiella pneumoniae]	MZ461464	http://www.ncbi.nlm.nih.gov/nuccore/MZ461464?from=1&to=876			A
QYZ75849	KPC-93	298	QYZ75849.1 inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-93 (plasmid) [Klebsiella pneumoniae]	MZ569034	http://www.ncbi.nlm.nih.gov/nuccore/MZ569034?from=1&to=897			A
QYE52346	KPC-94	292	QYE52346.1 class A beta-lactamase KPC-94 [Klebsiella pneumoniae]	MZ646140	http://www.ncbi.nlm.nih.gov/nuccore/MZ646140?from=1&to=879			A
QYE52347	KPC-95	293	QYE52347.1 class A beta-lactamase KPC-95 [Klebsiella pneumoniae]	MZ646141	http://www.ncbi.nlm.nih.gov/nuccore/MZ646141?from=1&to=882			A
UAY85936	KPC-96	293	UAY85936.1 carbapenem-hydrolyzing class A beta-lactamase KPC-96 [Klebsiella pneumoniae]	OK086970	http://www.ncbi.nlm.nih.gov/nuccore/OK086970?from=1&to=882			A
UAY85937	KPC-97	298	UAY85937.1 class A beta-lactamase KPC-97 [Klebsiella pneumoniae]	OK086971	http://www.ncbi.nlm.nih.gov/nuccore/OK086971?from=1&to=897			A
UAZ57792	KPC-98	293	UAZ57792.1 carbapenem-hydrolyzing class A beta-lactamase KPC-98 [Klebsiella pneumoniae]	MZ893466	http://www.ncbi.nlm.nih.gov/nuccore/MZ893466?from=1&to=882			A
UBJ91320	KPC-99	293	UBJ91320.1 inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-99 (plasmid) [Klebsiella pneumoniae]	OK086803	http://www.ncbi.nlm.nih.gov/nuccore/OK086803?from=1&to=882			A
URC16703	KPC-100	293	URC16703.1 inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-100 [Klebsiella pneumoniae]	ON521726	http://www.ncbi.nlm.nih.gov/nuccore/ON521726?from=32&to=913&strand=2			A
UBJ91322	KPC-101	295	UBJ91322.1 inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-101 (plasmid) [Klebsiella pneumoniae]	OK086805	http://www.ncbi.nlm.nih.gov/nuccore/OK086805?from=1&to=888			A
UDU33959	KPC-102	293	UDU33959.1 inhibitor-resistant extended-spectrum class A beta-lactamase KPC-102 [Klebsiella pneumoniae]	OK652013	http://www.ncbi.nlm.nih.gov/nuccore/OK652013?from=1&to=882			A
UFK32670	KPC-103	305	UFK32670.1 carbapenem-hydrolyzing class A beta-lactamase KPC-103 [Klebsiella pneumoniae subsp. pneumoniae]	OL445423	http://www.ncbi.nlm.nih.gov/nuccore/OL445423?from=1&to=918			A
UFK32671	KPC-104	301	UFK32671.1 carbapenem-hydrolyzing class A beta-lactamase KPC-104 [Klebsiella pneumoniae subsp. pneumoniae]	OL445424	http://www.ncbi.nlm.nih.gov/nuccore/OL445424?from=1&to=906			A
UFK32673	KPC-105	308	UFK32673.1 carbapenem-hydrolyzing class A beta-lactamase KPC-105 [Klebsiella pneumoniae subsp. pneumoniae]	OL445426	http://www.ncbi.nlm.nih.gov/nuccore/OL445426?from=1&to=927			A
UFK32675	KPC-106	299	UFK32675.1 carbapenem-hydrolyzing class A beta-lactamase KPC-106 [Klebsiella pneumoniae subsp. pneumoniae]	OL445428	http://www.ncbi.nlm.nih.gov/nuccore/OL445428?from=1&to=900			A
UFK32672	KPC-107	321	UFK32672.1 carbapenem-hydrolyzing class A beta-lactamase KPC-107 [Klebsiella pneumoniae subsp. pneumoniae]	OL445425	http://www.ncbi.nlm.nih.gov/nuccore/OL445425?from=1&to=966			A
UFK32674	KPC-108	318	UFK32674.1 carbapenem-hydrolyzing class A beta-lactamase KPC-108 [Klebsiella pneumoniae subsp. pneumoniae]	OL445427	http://www.ncbi.nlm.nih.gov/nuccore/OL445427?from=1&to=957			A
UGY69815	KPC-109	299	UGY69815.1 inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-109 [Klebsiella pneumoniae subsp. pneumoniae]	OL744263	http://www.ncbi.nlm.nih.gov/nuccore/OL744263?from=1&to=900			A
UIH96895	KPC-110	293	UIH96895.1 inhibitor-resistant class A beta-lactamase KPC-110 (plasmid) [Klebsiella pneumoniae]	CP100313	http://www.ncbi.nlm.nih.gov/nuccore/CP100313?from=37211&to=38092&strand=2			A
UIX50813	KPC-111	293	UIX50813.1 inhibitor-resistant class A beta-lactamase KPC-111 (plasmid) [Klebsiella pneumoniae subsp. pneumoniae]	OL744330	http://www.ncbi.nlm.nih.gov/nuccore/OL744330?from=12173&to=13054			A
UIY90578	KPC-112	289	UIY90578.1 inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-112 [Klebsiella pneumoniae]	OM177660	http://www.ncbi.nlm.nih.gov/nuccore/OM177660?from=6&to=875			A
ULU82276	KPC-113	294	ULU82276.1 inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-113 [Klebsiella pneumoniae]	OM728506	http://www.ncbi.nlm.nih.gov/nuccore/OM728506?from=1&to=885			A
ULU82277	KPC-114	295	ULU82277.1 inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-114 [Klebsiella pneumoniae]	OM728507	http://www.ncbi.nlm.nih.gov/nuccore/OM728507?from=1&to=888			A
ULU82668	KPC-115	291	ULU82668.1 inhibitor-resistant class A beta-lactamase KPC-115 [Klebsiella pneumoniae subsp. pneumoniae]	OM714909	http://www.ncbi.nlm.nih.gov/nuccore/OM714909?from=1&to=876			A
ULU82669	KPC-116	293	ULU82669.1 carbapenem-hydrolyzing class A beta-lactamase KPC-116 [Klebsiella pneumoniae]	OM729575	http://www.ncbi.nlm.nih.gov/nuccore/OM729575?from=1&to=882&strand=2			A
UNN26047	KPC-117	297	UNN26047.1 carbapenem-hydrolyzing class A beta-lactamase KPC-117 [Klebsiella pneumoniae]	OM933711	http://www.ncbi.nlm.nih.gov/nuccore/OM933711?from=1&to=894&strand=2			A
UNN26048	KPC-118	293	UNN26048.1 carbapenem-hydrolyzing class A beta-lactamase KPC-118 [Klebsiella pneumoniae]	OM933712	http://www.ncbi.nlm.nih.gov/nuccore/OM933712?from=1&to=882&strand=2			A
UNN26049	KPC-119	293	UNN26049.1 carbapenem-hydrolyzing class A beta-lactamase KPC-119 [Klebsiella pneumoniae]	OM933713	http://www.ncbi.nlm.nih.gov/nuccore/OM933713?from=1&to=882&strand=2			A
UNN26051	KPC-120	293	UNN26051.1 carbapenem-hydrolyzing class A beta-lactamase KPC-120 [Pseudomonas aeruginosa]	OM933715	http://www.ncbi.nlm.nih.gov/nuccore/OM933715?from=1&to=882			A
UNN26053	KPC-121	294	UNN26053.1 carbapenem-hydrolyzing class A beta-lactamase KPC-121 [Enterobacter cloacae]	OM933717	http://www.ncbi.nlm.nih.gov/nuccore/OM933717?from=1&to=885			A
UNN26056	KPC-122	293	UNN26056.1 carbapenem-hydrolyzing class A beta-lactamase KPC-122 [Enterobacter cloacae]	OM933720	http://www.ncbi.nlm.nih.gov/nuccore/OM933720?from=1&to=882			A
UNN26644	KPC-123	302	UNN26644.1 inhibitor-resistant class A extended-spectrum beta-lactamase KPC-123 (plasmid) [Citrobacter koseri]	ON012820	http://www.ncbi.nlm.nih.gov/nuccore/ON012820?from=1&to=909			A
